review,voted_up,playtime_hours,votes_up,burnout_score,review_lower,theme_endgame_emptiness,theme_grind_fatigue,theme_pal_management_burden,theme_base_building_issues,theme_early_access_unfinished,theme_progression_ceiling,theme_performance_bugs,theme_update_disappointment,theme_raid_dungeon_lack,theme_multiplayer_issues,theme_creative_freedom_positive,theme_quit_signal,playtime_bucket
be warned the latest version of the game is unplayable. you can get only so far before the autosave starts kicking you out of the game saying that the save file is too long. look it up and you find this problem has persisted over a year. if they ever get it fixed i might come back but I don't think you should buy a game that will waste the time you sink into it.,False,352.8333333333333,0,8,be warned the latest version of the game is unplayable. you can get only so far before the autosave starts kicking you out of the game saying that the save file is too long. look it up and you find this problem has persisted over a year. if they ever get it fixed i might come back but i don't think you should buy a game that will waste the time you sink into it.,0,0,0,0,0,0,0,0,0,0,0,0,300-500h
have been playing for quite some time and may be one of the better games I have played so far. a mix of relaxed and also exciting game mechanics. player community is also nice.,True,1128.75,0,7,have been playing for quite some time and may be one of the better games i have played so far. a mix of relaxed and also exciting game mechanics. player community is also nice.,0,0,0,0,0,0,0,0,0,0,0,1,800h+
"It's grindy.  It's violent.  There are guns, rocket launchers, bows and arrows.  You die with fair regularity.  but it's fun.  The graphics are decent, and it flows fairly well.  I haven't crashed.  The Pals are silly, but that helps keep it playful.  I only wish it was open world.  Even if it meant scaling back our building areas, and limiting things, I'd love to play with others.  I've tried the open servers, that is broken.  I paid for my version, and don't regret the expenditure.",True,395.6666666666667,0,7,"it's grindy.  it's violent.  there are guns, rocket launchers, bows and arrows.  you die with fair regularity.  but it's fun.  the graphics are decent, and it flows fairly well.  i haven't crashed.  the pals are silly, but that helps keep it playful.  i only wish it was open world.  even if it meant scaling back our building areas, and limiting things, i'd love to play with others.  i've tried the open servers, that is broken.  i paid for my version, and don't regret the expenditure.",0,2,0,0,0,0,2,0,0,2,0,0,300-500h
"I wish there was a Mixed review. Palworld is a survival game with a skin of a Monster Collector. It's a nice fresh breath of air for people playing for the Monster Collector genre aspect, It got a lot of traction because people got tired of same old Pokemon formula in Monster collector genre. However, in reality, it brings nothing new into the survival genre itself. People who are coming from the survival genre will find the exact same reskin of concepts of grind and automation. Adventure is meh as the world itself is empty and bland. Dungeons are boring, and everything else about the game including quests are undercooked except the Pal and automation mechanics. Same survival dna where grind gets worse and more time-consuming near-endgame. This game will offer you nothing new, if you are coming from other survival games and looking for a game that does different within the genre. If you are a monster collector fan, game will feel fun until you hit bigger grinds that are part of survival games and you might be turned off by it.",True,43.8,0,6,"i wish there was a mixed review. palworld is a survival game with a skin of a monster collector. it's a nice fresh breath of air for people playing for the monster collector genre aspect, it got a lot of traction because people got tired of same old pokemon formula in monster collector genre. however, in reality, it brings nothing new into the survival genre itself. people who are coming from the survival genre will find the exact same reskin of concepts of grind and automation. adventure is meh as the world itself is empty and bland. dungeons are boring, and everything else about the game including quests are undercooked except the pal and automation mechanics. same survival dna where grind gets worse and more time-consuming near-endgame. this game will offer you nothing new, if you are coming from other survival games and looking for a game that does different within the genre. if you are a monster collector fan, game will feel fun until you hit bigger grinds that are part of survival games and you might be turned off by it.",1,1,0,0,0,1,0,0,1,0,0,0,<50h
"I absolutely love this game. Before I start. I am a 65 year old man who is quite happy with a game lasting 10-20 hours and very often get to a stage where I just think ""oh come on I must be near the end now"". Favourite game ever (Was) Ocarina of time. Palworld has definitely become my favourite game ever.
I'm now 475 hours into this game and have done all of the content I feel I need to do. Played against bosses multiple times. Done oil rigs multiple times. Bred and maxed out all of my favourite pals. And I still want more. I'm currently just collecting ores and refining and I'm really, really looking forward to full release. Will I start a new game? I don't know but I have a sneaking suspicion I just might. 
I love all of the pals. Favourites being Grizzbolt and Jormuntide. (Maybe because of the Pokemon likeness). I have never been this hooked on any game.
When I first saw the game I thought ""Guns. Really"" Somehow the guns work really well.
My only downside is my bases look like an escher drawing. My fault not the game. Maybe that's something I should do. Make a nice base.
I would have no hesitation recommending this game.",True,576.8,0,7,"i absolutely love this game. before i start. i am a 65 year old man who is quite happy with a game lasting 10-20 hours and very often get to a stage where i just think ""oh come on i must be near the end now"". favourite game ever (was) ocarina of time. palworld has definitely become my favourite game ever.
i'm now 475 hours into this game and have done all of the content i feel i need to do. played against bosses multiple times. done oil rigs multiple times. bred and maxed out all of my favourite pals. and i still want more. i'm currently just collecting ores and refining and i'm really, really looking forward to full release. will i start a new game? i don't know but i have a sneaking suspicion i just might. 
i love all of the pals. favourites being grizzbolt and jormuntide. (maybe because of the pokemon likeness). i have never been this hooked on any game.
when i first saw the game i thought ""guns. really"" somehow the guns work really well.
my only downside is my bases look like an escher drawing. my fault not the game. maybe that's something i should do. make a nice base.
i would have no hesitation recommending this game.",0,0,0,0,0,0,0,0,0,0,0,1,500-800h
"Palworld is my comfort game. ivee just finished it (maxing out pal ranks, breeding the best frostalion noct with 4 blue passives, defeated the towers on hard mode, collecting each and ever pal more than once, getting almost every pal i could with the lucky trait and so much more) 
i feel like there is still a lot i can do grinding wise, but this has beeen the best game i have ever played, its like reading a good series and the last book isnt released yet. you cant read another book because its just not the same. i try to play other games but i just cant, i just sit here and restart the game over and over waiting for the next update. 
i love this game and ill probaly be playing it for the rest of my life. i cant wait for whats to come regarding the tree.  what new pals are coming to the game. i hope there a lot more areas to explore, more raids to do. 
to those who have been thinking about playing the game and havent yet, give it a try, i dont think yull be dissapointed 
",True,527.9833333333333,0,7,"palworld is my comfort game. ivee just finished it (maxing out pal ranks, breeding the best frostalion noct with 4 blue passives, defeated the towers on hard mode, collecting each and ever pal more than once, getting almost every pal i could with the lucky trait and so much more) 
i feel like there is still a lot i can do grinding wise, but this has beeen the best game i have ever played, its like reading a good series and the last book isnt released yet. you cant read another book because its just not the same. i try to play other games but i just cant, i just sit here and restart the game over and over waiting for the next update. 
i love this game and ill probaly be playing it for the rest of my life. i cant wait for whats to come regarding the tree.  what new pals are coming to the game. i hope there a lot more areas to explore, more raids to do. 
to those who have been thinking about playing the game and havent yet, give it a try, i dont think yull be dissapointed 
",0,2,0,0,0,0,0,1,1,0,0,0,500-800h
"Didn't find this game particularly fun to play, becomes very boring after couple of hours. 

After you pass early game, it becomes very grindy and repetetive. Then it just became frustrating.

3/10",False,15.083333333333334,2,7,"didn't find this game particularly fun to play, becomes very boring after couple of hours. 

after you pass early game, it becomes very grindy and repetetive. then it just became frustrating.

3/10",0,3,0,0,0,0,0,0,0,0,0,0,<50h
"Points for the win over nintendo but this is such a hot garbage game. Not pal fighter game in the slightest. I just dodge laps around an enemy on 10 hp on flat ground. My pal did absolutely nothing no attacks at all. and this is on the 4rth runback to this spot. All right at the waypoint. You'll progress and you'll feel the shift of the game doesn't want you alive. It's a ridiculous switch. Make your pals actually attack nonstop cuz if not what is the point of the attack wheel. It's so infuriating to see it in a staring contest with the enemy shooting me in plain sight. If you play you will note. Their is no difficulty just a grind. If they don't want you there you won't so don't bother exploring. They don't want you to fight with your pals. If you fight and capture a pal it is now brought down to your level. Been in countless fights with one pal, don't matter. Your level is it's level and this is a slog. I played at release and I've now played the equal amount of hrs and I'm barely lvl 24. This is not fun at all when most of the unlocks is just saddles. like what is the purpose of that? It's a terrible survival game where base building is worse than No Man's Sky's. Pals don't interact with base how you want or anywere really. I'm just grinding for an opportunity to fight stronger pals that if I catch I will not be rewarded. I get to play with my brother but this is just an aggravating game.",False,100.06666666666666,1,7,"points for the win over nintendo but this is such a hot garbage game. not pal fighter game in the slightest. i just dodge laps around an enemy on 10 hp on flat ground. my pal did absolutely nothing no attacks at all. and this is on the 4rth runback to this spot. all right at the waypoint. you'll progress and you'll feel the shift of the game doesn't want you alive. it's a ridiculous switch. make your pals actually attack nonstop cuz if not what is the point of the attack wheel. it's so infuriating to see it in a staring contest with the enemy shooting me in plain sight. if you play you will note. their is no difficulty just a grind. if they don't want you there you won't so don't bother exploring. they don't want you to fight with your pals. if you fight and capture a pal it is now brought down to your level. been in countless fights with one pal, don't matter. your level is it's level and this is a slog. i played at release and i've now played the equal amount of hrs and i'm barely lvl 24. this is not fun at all when most of the unlocks is just saddles. like what is the purpose of that? it's a terrible survival game where base building is worse than no man's sky's. pals don't interact with base how you want or anywere really. i'm just grinding for an opportunity to fight stronger pals that if i catch i will not be rewarded. i get to play with my brother but this is just an aggravating game.",0,2,0,1,0,0,0,0,0,1,0,0,50-150h
"Just got the 57/57 achievements as of May 5, 2026.  So, I think I can give a full review.

I returned to this game after a two year break--I basically jumped on the hype train when it came out, and then it faded away.  It felt very early access back then.

Returning to this game in 2026, the polish is there and this game shines. It works for both casual players and those who want to min-max.  The QoL improvements from when I last played are staggering. One includes a chest that allows you to store a set number of items that are shared amongst bases--similar to an Ender Chest from Minecraft.  While I'm not sure if this was present in 2024, the global palbox prevents you from running out of storage with your Pals--provided you do not breed 10,000. Expanded machinery and a money printer later in the game really help you keep the pace of this game.

That's where I heap on the praise.  A lot of survival games have a great start, and a terrible middle, and a lackluster end. I'm looking at you, Studio Wildcard.  Palworld has masterful pacing in a survival crafting game.  There is some RNG, but it's not abominable and you can beat the bosses and the game without having to grind for the absolutely best gear.  The additions of Sukijima--which added Japanese architecture, is a crown jewel of this game that does indeed have an Albernueric farm.

I was watching a guy review Warhammer 40k, and he said ""When something becomes derivative enough, it eventually swings back to being original.""  That's how this game feels.  You have things torn from other games like:

- Evergaols, spirit springs and somehow Godfrey from Elden Ring
- the obvious monster catching that Nintendon't ripped off from another game
- the crafting mechanics of Ark without the janky build mechanics
- the BotW scope of the map
- odd lore that somehow feels like it was inspired by Adventure Time?

But when you mix all these ingredients together, you get a great game.  Some games, when I finish them, I feel glad it's over.  This is one of those games where I'm glad it existed.",True,434.98333333333335,0,7,"just got the 57/57 achievements as of may 5, 2026.  so, i think i can give a full review.

i returned to this game after a two year break--i basically jumped on the hype train when it came out, and then it faded away.  it felt very early access back then.

returning to this game in 2026, the polish is there and this game shines. it works for both casual players and those who want to min-max.  the qol improvements from when i last played are staggering. one includes a chest that allows you to store a set number of items that are shared amongst bases--similar to an ender chest from minecraft.  while i'm not sure if this was present in 2024, the global palbox prevents you from running out of storage with your pals--provided you do not breed 10,000. expanded machinery and a money printer later in the game really help you keep the pace of this game.

that's where i heap on the praise.  a lot of survival games have a great start, and a terrible middle, and a lackluster end. i'm looking at you, studio wildcard.  palworld has masterful pacing in a survival crafting game.  there is some rng, but it's not abominable and you can beat the bosses and the game without having to grind for the absolutely best gear.  the additions of sukijima--which added japanese architecture, is a crown jewel of this game that does indeed have an albernueric farm.

i was watching a guy review warhammer 40k, and he said ""when something becomes derivative enough, it eventually swings back to being original.""  that's how this game feels.  you have things torn from other games like:

- evergaols, spirit springs and somehow godfrey from elden ring
- the obvious monster catching that nintendon't ripped off from another game
- the crafting mechanics of ark without the janky build mechanics
- the botw scope of the map
- odd lore that somehow feels like it was inspired by adventure time?

but when you mix all these ingredients together, you get a great game.  some games, when i finish them, i feel glad it's over.  this is one of those games where i'm glad it existed.",0,1,0,0,1,1,0,0,0,0,0,0,300-500h
"Its boring, the combat is terribly shallow and resources are just a time sink and the build cost for much of the end game items is excessive, at the least it needs major rebalancing.
There nothing more to combat that hold m1 and wait for what you are hitting to die. Your pals just stand there and throw out abilities and than wait for their cooldowns you have little control over how they act. You do get team up abilities that you can use and mounted pals lets you control what they abilities they use but its feels lack luster. Enemy ai is bad too and to compensate they have have a rather high hp pool, and the enemy pals have the same ai as yours. Honestly fixing the whole games combat system would single handedly make this game its what you will spend the majority of your time doing in this game and its just monotonous. Leveling and resources are grindy it takes a long time to level up with the default xp settings and the tech system is trash. Too much of the game is designed to cause pvp conflicts and while that would be great for a pvp game this game is not designed well enough for that.",False,242.16666666666663,0,9,"its boring, the combat is terribly shallow and resources are just a time sink and the build cost for much of the end game items is excessive, at the least it needs major rebalancing.
there nothing more to combat that hold m1 and wait for what you are hitting to die. your pals just stand there and throw out abilities and than wait for their cooldowns you have little control over how they act. you do get team up abilities that you can use and mounted pals lets you control what they abilities they use but its feels lack luster. enemy ai is bad too and to compensate they have have a rather high hp pool, and the enemy pals have the same ai as yours. honestly fixing the whole games combat system would single handedly make this game its what you will spend the majority of your time doing in this game and its just monotonous. leveling and resources are grindy it takes a long time to level up with the default xp settings and the tech system is trash. too much of the game is designed to cause pvp conflicts and while that would be great for a pvp game this game is not designed well enough for that.",1,3,0,0,0,0,0,0,0,0,0,0,150-300h
"Arena is trash, 4-star pals with maximized perks and the master level arena cheats hard. Don't bother.",False,788.2833333333333,0,8,"arena is trash, 4-star pals with maximized perks and the master level arena cheats hard. don't bother.",0,0,0,0,0,0,0,0,0,0,0,0,500-800h
